,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,33.0,24.0,0.0,83.0
1,1960.0,11.0,40.0,1.0,94.0
2,1953.0,3.0,47.0,2.0,97.0
3,1952.0,1.0,48.0,3.0,98.0
4,1951.0,0.0,49.0,4.0,98.0
5,1951.0,0.0,49.0,5.0,98.0
6,1951.0,0.0,49.0,6.0,98.0
7,1951.0,0.0,49.0,7.0,98.0
8,1951.0,0.0,49.0,8.0,98.0
9,1951.0,0.0,49.0,9.0,98.0
10,1951.0,0.0,49.0,10.0,98.0
11,1951.0,0.0,49.0,11.0,98.0
12,1951.0,0.0,49.0,12.0,98.0
13,1951.0,0.0,49.0,13.0,98.0
14,1951.0,0.0,49.0,14.0,98.0
15,1951.0,0.0,49.0,15.0,98.0
16,1951.0,0.0,49.0,16.0,98.0
17,1951.0,0.0,49.0,17.0,98.0
18,1951.0,0.0,49.0,18.0,98.0
19,1951.0,0.0,49.0,19.0,98.0
20,1951.0,0.0,49.0,20.0,98.0
